acct_id,email_grp,sales,net_profit,sends,opens,unsubscribed
"138,473,050",Grp2,0.00,0.000000,30,0,0
"138,473,051",Grp2,0.00,0.000000,46,0,0
"138,473,089",Grp2,0.00,0.000000,29,0,0
"138,473,093",Grp2,0.00,0.000000,49,5,0
"138,473,094",Grp2,0.00,0.000000,46,2,0
"138,473,095",Grp2,0.00,0.000,31,0,0
"138,473,112",Grp2,0.00,0.000000,48,2,0
"138,473,131",Grp1,0.00,0.000000,56,48,0
"138,473,133",Grp2,0.00,0.000000,49,1,0
"138,473,134",Grp2,0.00,0.000000,29,0,0
"138,473,135",Grp2,0.00,0.000000,50,20,0
"138,473,136",Grp2,0.00,0.000000,49,39,0
"138,473,144",Grp2,0.00,0.000000,29,0,0
"138,473,145",Grp2,0.00,0.000000,1,0,0
"138,473,160",Grp2,0.00,0.000000,45,9,0
"138,473,161",Grp2,0.00,0.000000,47,1,0
"138,473,179",Grp2,0.00,0.000000,29,0,0
"138,473,197",Grp2,0.00,0.000000,30,0,0
"138,473,207",Grp2,0.00,0.000000,31,0,0
"138,473,209",Grp1,0.00,0.000000,44,0,0
"138,473,214",Grp1,0.00,0.000000,36,5,1
"138,473,216",Grp2,0.00,0.000000,29,0,0
"138,473,217",Grp2,0.00,0.000000,52,5,0
"138,473,218",Grp2,0.00,0.000000,30,0,0
"138,473,228",Grp1,0.00,0.000000,47,3,0
"138,473,231",Grp2,0.00,0.000000,45,1,0
"138,473,235",Grp2,0.00,0.000000,46,1,0
"138,473,239",Grp1,0.00,0.000000,45,0,0
"138,473,252",Grp2,0.00,0.000000,46,15,0
"138,473,253",Grp2,0.00,0.000000,30,0,0
"138,473,254",Grp2,0.00,0.000000,30,0,0
"138,473,255",Grp2,0.00,0.000000,45,0,0
"138,473,281",Grp2,0.00,0.000000,54,19,1
"138,473,283",Grp2,0.00,0.000000,49,3,0
"138,473,284",Grp2,0.00,0.000000,48,48,0
"138,473,288",Grp1,0.00,0.000000,50,5,1
"138,473,292",Grp2,0.00,0.000000,1,0,0
"138,473,293",Grp2,0.00,0.000000,49,3,0
"138,473,294",Grp2,0.00,0.000000,45,29,0
"138,473,298",Grp1,0.00,0.000000,57,0,0
"138,473,304",Grp2,0.00,0.000000,48,3,0
"138,473,305",Grp2,0.00,0.000000,14,9,1
"138,473,306",Grp2,0.00,0.000000,30,0,0
"138,473,307",Grp2,0.00,0.000000,31,0,0
"138,473,312",Grp2,0.00,0.000000,48,2,0
"138,473,347",Grp2,0.00,0.000000,49,6,0
"138,473,348",Grp2,0.00,0.000000,30,0,0
"138,473,353",Grp1,0.00,0.000000,51,17,0
"138,473,355",Grp1,0.00,0.000000,31,29,1
"138,473,356",Grp2,0.00,0.000000,31,0,0
"138,473,357",Grp2,0.00,0.000000,47,3,0
"138,473,384",Grp2,0.00,0.000000,49,1,0
"138,473,385",Grp2,0.00,0.000000,48,5,0
"138,473,386",Grp2,0.00,0.000000,49,1,0
"138,473,387",Grp2,0.00,0.000000,30,0,0
"138,473,393",Grp2,0.00,0.000000,31,0,0
"138,473,394",Grp2,0.00,0.000000,46,0,0
"138,473,395",Grp2,0.00,0.000000,30,0,0
"138,473,404",Grp2,0.00,0.000000,49,1,0
"138,473,405",Grp2,0.00,0.000000,43,6,0
"138,473,413",Grp1,0.00,0.000000,47,16,0
"138,473,425",Grp2,0.00,0.000000,46,10,0
"138,473,437",Grp2,0.00,0.000000,28,0,1
"138,473,438",Grp1,0.00,0.000000,29,0,0
"138,473,444",Grp2,0.00,0.000000,31,0,0
"138,473,454",Grp2,0.00,0.000000,47,2,0
"138,473,455",Grp2,0.00,0.000000,48,1,0
"138,473,480",Grp2,0.00,0.000000,31,0,0
"138,473,481",Grp2,0.00,0.000000,32,0,0
"138,473,482",Grp2,0.00,0.000000,47,1,0
"138,473,493",Grp2,0.00,0.000000,29,0,0
"138,473,494",Grp2,0.00,0.000000,9,32,0
"138,473,495",Grp2,0.00,0.000000,31,0,0
"138,473,503",Grp1,0.00,0.000000,24,27,1
"138,473,512",Grp2,0.00,0.000000,30,0,0
"138,473,515",Grp1,0.00,0.000000,1,0,0
